"Matricula";"Ano";"Turma";"Horario";"Professor";"Codigo_curso";"Curso";"Prova";"Questao";"Acertou";"Nome.questao";"arquivos";"Numero.prova"
170112446;2017;"EA";"18-21";"JHAMES MATOS";"01741";"Engenharia de Computação";19091800527;5;TRUE;"09_distribuicao_poisson_04.Rnw";"Solucao_EA_20.pdf";1
170112772;2017;"EA";"18-21";"JHAMES MATOS";"01147";"Outros";19091800555;5;TRUE;"09_distribuicao_poisson_04.Rnw";"Solucao_EA_48.pdf";1
170113116;2017;"DA";"16-18";"LUCAS MOREIRA";"06254";"Engenharia Ambiental";19091800447;5;TRUE;"04_teorema_Bayes_02.Rnw";"Solucao_DA_19.pdf";1
170113540;2017;"CA";"14-16";"ANDRE LUIZ";"60844";"Engenharia Química";19091800268;5;TRUE;"04_teorema_Bayes_06.Rnw";"Solucao_CA_24.pdf";1
170113752;2017;"CB";"14-16";"LUCAS MOREIRA";"01449";"Outros";19091800313;5;TRUE;"03_probabilidade_total_03.Rnw";"Solucao_CB_05.pdf";1
170120058;2017;"EA";"18-21";"JHAMES MATOS";"06017";"Engenharia De Produção";19091800516;5;FALSE;"09_distribuicao_poisson_04.Rnw";"Solucao_EA_09.pdf";1
170121224;2017;"CC";"14-16";"EDUARDO YOSHIO";"06254";"Engenharia Ambiental";19091800404;5;FALSE;"04_teorema_Bayes_03.Rnw";"Solucao_CC_36.pdf";1
170121283;2017;"CC";"14-16";"EDUARDO YOSHIO";"03221";"Ciências Econômicas";19091800418;5;TRUE;"04_teorema_Bayes_03.Rnw";"Solucao_CC_50.pdf";1
170121631;2017;"CB";"14-16";"LUCAS MOREIRA";"06254";"Engenharia Ambiental";19091800331;5;TRUE;"03_probabilidade_total_03.Rnw";"Solucao_CB_23.pdf";1
170126307;2017;"CC";"14-16";"EDUARDO YOSHIO";"06912";"Ciências Contábeis";19091800417;5;FALSE;"04_teorema_Bayes_03.Rnw";"Solucao_CC_49.pdf";1
170130860;2017;"CB";"14-16";"LUCAS MOREIRA";"06017";"Engenharia De Produção";19091800330;5;TRUE;"03_probabilidade_total_03.Rnw";"Solucao_CB_22.pdf";1
170130886;2017;"AA";"08/out";"CIRA ETHEOWALDA";"06335";"Engenharia Elétrica";19091800001;5;FALSE;"02_propriedade_probabilidade_05.Rnw";"Solucao_AA_01.pdf";1
